gps_point;street;postal_code
43.504757859,3.36766451;"1,rue principale
Hameau de salleles";34720
43.454424304,3.040666458;Route de Causses et Veyran;34460
43.44813198,3.749580097;ZA LA PEYRADE;34110
43.540908254,2.91738827;Le Salvet St Etienne d'Albagnan;34390
43.68682806,3.842969964;Domaine de Saint Clément;34980
43.614447001,1.081354629;"Route deToulouse
Las Crabères";32600
44.022262753,1.364081417;569 CHEMIN DE BEGUE;82000
42.975741707,1.153483062;4 rue de bourg;09200
43.683376049,3.592224268;Chemin de Capion;34150
43.981476028,4.490965018;route départementale 6086;30210
43.251846301,2.856609811;4 cour du château;11120
43.084337113,1.02905351;pioulet;09160
43.661307259,3.469014257;BP1;34725
43.187559871,2.456950225;Rue des Corbieres;11800
43.534573652,3.122249509;Hameau de Lentheric;34480
43.079186051,0.383004275;3 ROUTE D'ESPAGNE;65250
43.049972342,2.2391332520000002;29 Avenue Charles de Gaulle;11300
43.620987218,0.879692871;ZA Lafourcade;32200
43.967166326,4.519310424;349 Chemin Des Bégudes;30210
43.204059124,2.762030341;4 Rue Des Romains;11200
43.117655664,2.184346138;Domaine La Louviere 1 La Louviere;11300
42.815401378,2.61294475;10 RUE DOCTEUR POUGAULT;66460
43.221078586,1.093274983;Z.A. MAILHOL DE SAINT-JEAN;31220
42.696441301,2.898977872;"242 ave de St CHARLES 
MEDINA 3  BP 85202";66000
43.090072325,2.949143672;Lieu dit Batiqueille;11440
43.132962214,2.653550229;23 AVENUE DE LA PROMENADE;11200
43.72381651,4.359105675;Route De Nîmes Station Fruitière Des Coteaux;30510
43.107731501,2.237780649;la coume;11300
42.763894047,2.944971914;9 rue des Blanqueries;66530
43.569206252,3.183484732;1207 Route De Pezenas;34600
43.61335437,3.8692640540000003;519 RUE DE LA CROIX VERTE;34090
43.769683846,3.870115659;140 av des côteaux de Mont ferrand;34270
42.602755615,2.759839983;46 AVENUE DES CORBIERES;66300
43.379717231,1.356256603;Lieu dit d''espinaouet;31870
43.730626684,3.30582418;1 Pae Le Capitoul;34700
43.683376049,3.592224268;Chemin des Conquetes;34150
44.222855488,2.446701163;"54 Chemin de Negrecam 
Lieu-dit NOYES";12160
43.474649421,3.510060528;DOMAINE SAINTE CROIX;34530
43.761327366,-0.030667017;AVENUE DANIATE;32110
43.805341297,4.488499277;MAS D ALBAN ROUTE DE BEAUCAIRE;30129
43.204059124,2.762030341;6 avenue gallieni;11200
44.447636834,2.028472055;Le Mas de Jammes;12260
43.535005474,3.426029227;cave coopérative;34230
43.695979509,3.387223961;ZA LA MERIDIENNE;34700
43.454424304,3.040666458;RTE DE CAZOULS;34460
44.3127547,4.465397244;Chemin de Cluchier;30760
44.793534901,1.465372839;891 Route de Campanole;46350
43.478651535,2.748611463;chemin de Portes 34 220 ST PONS DE THOMIERES;34220
44.126009118,1.098086865;2788 route de la Mégère;82200
43.751639943,4.49586055;Route de Jonquieres;30127
44.354970391,4.018205792;Chassac;30450
43.972634965,4.599829451;3, chemin de la Clastre;30210
43.347466978,3.230859725;3658 Route De Narbonne Chemin Du Luch;34500
43.544855875,1.34315827;131 ROUTE DE TOULOUSE;31270
43.540286834,3.702724923;Route du mas de bonnel;34660
44.529242018,3.481219072;"ZAE DU CAUSSE D'AUGE
RUE DE LA DRAINE";48000
42.584875828,2.777704947;Route De Trouillas  Mas De Della;66300
43.577640419,3.6174261149999998;Route De Montpellier;34230
43.271358589,2.510108547;9, avenue de la montagne noire;11800
43.179962504,2.611831566;76 avenue des Corbieres;11700
42.745702722,2.805480492;14 avenue Marechal;66390
44.022262753,1.364081417;641 Chemin du Quart;82000
43.904355826,4.683236609;342 CHEMIN DES AIRES;30390
42.794219656,3.00185226;3 rue Ludovic Masse;66250
44.097355053,3.117377106;120 rue Albert Austruy;12100
43.683376049,3.592224268;12 boulevard Saint Jean;34150
43.438188375,2.893011258;1, Rue des Cèdres;34360
43.250042588,2.453740247;Hameau de Villepeyroux;11600
43.650409014,3.5035213880000002;"Zae La Garrigue 
9 rue de l&#39;Amellau";34725
43.268809073,2.039125675;Domaine de la Souque;11150
43.831151987,3.881420005;Cazeneuve;34270
44.165612091,4.075326179;105, chemin de la transhumance;30520
42.819854033,2.139382024;Domaine des Massols;11140
43.454002649,3.237678458;10 Rue D'emblan;34480
43.429168764,3.578401617;Bld Ernest Massol 2 Lou Grégaou;34140
